Date,Job_title,Job_type,Salary,Hours,Link,ID,Skills,Responsibilities,Qualifications
"Apr 20, 2026","['Data Analyst', 'Analyst']",Any,,40,https://www.onlinejobs.ph/jobseekers/job/Full-Time-Data-Analyst-Role-1627671,1,"['Google Sheet', 'Metrics']","['report', 'build', 'metrics']",['experience']
"Apr 19, 2026","['Real Estate', 'Real Estate', 'Research']",Full Time,5.0,40,https://www.onlinejobs.ph/jobseekers/job/Real-Estate-Data-Research-VA-1614658,2,"['Excel', 'Cleaning', 'Reporting', 'Google Sheet', 'Management']","['report', 'clean', 'organize', 'accuracy', 'datasets', 'load']",['experience']
"Apr 19, 2026","['Data Analyst', 'Analyst', 'BI']",Any,5.62,TBD,https://www.onlinejobs.ph/jobseekers/job/Loan-Data-Analyst-BIZCORE-EXPERIENCE-REQUIRED-1627010,3,"['Excel', ' BI', 'Communication', 'Management']",['clean'],['experience']
"Apr 17, 2026","['Data Analyst', 'Senior', 'Analyst']",Full Time,7.81,40,https://www.onlinejobs.ph/jobseekers/job/Senior-Data-Analyst-1626456,4,"['SQL', 'Python', 'Communication', 'Git']",['analysis'],"['experience', 'portfolio', 'senior']"
"Apr 17, 2026","['Data Analyst', 'Analyst', 'Performance']",Part Time,9.75,35,https://www.onlinejobs.ph/jobseekers/job/Ads-Data-Analyst-Campaign-Performance-1626437,5,"['Excel', 'Reporting', 'Dashboard', 'Google Sheet', 'Communication', 'Metrics', 'Git', 'spreadsheet']","['report', 'dashboards', 'trends', 'insights', 'monitor', 'track', 'metrics', 'trends']",['experience']
"Apr 17, 2026","['STR', 'Data Analyst', 'Analyst']",Full Time,4.66,40,https://www.onlinejobs.ph/jobseekers/job/Remote-Environmental-Laboratory-Data-Analyst-Industrial-Hygiene-Focus-1626323,6,"[' BI', ' AI', 'Reporting', 'Communication', 'KPI']","['analyze', 'report', 'findings', 'track', 'KPI', 'interpret', 'accuracy', 'analysis', 'communicate', 'load', 'document']","['education', 'experience', 'project']"
"Apr 17, 2026","['Data Analyst', 'Analyst']",Any,4.69,38,https://www.onlinejobs.ph/jobseekers/job/Loan-Data-Analyst-Credit-Decisioning-Focus-1625896,7,[],"['present', 'build', 'interpret', 'analysis']",['experience']
"Apr 16, 2026","['Data Analyst', 'Analyst']",Part Time,,10,https://www.onlinejobs.ph/jobseekers/job/Data-analyst-ExcelGoogle-Sheet-Pro-1625737,8,"['Excel', 'Tableau', 'Power BI', ' BI', 'Visual', 'Communication', 'Management', 'spreadsheet']","['report', 'trends', 'decision-making', 'organize', 'track', 'build', 'visual', 'document', 'trends']","['engineering', 'experience', 'project']"
"Apr 16, 2026","['Data Analyst', 'Analyst']",Full Time,4.66,40,https://www.onlinejobs.ph/jobseekers/job/Data-Analyst-1609377,9,"['SQL', 'Python', 'Excel', 'Power BI', ' BI', 'Visual', 'Data Modeling', 'Reporting', 'Dashboard', 'Communication', 'Stakeholder', 'Management', 'Governance', 'Warehouse', 'Storytelling']","['report', 'dashboards', 'insights', 'collaborate', 'present', 'automate', 'accuracy', 'visual', 'stakeholders', 'transform', 'query', 'document']","['experience', 'excellent communication skills']"
"Apr 15, 2026",['book'],Full Time,5.0,38,https://www.onlinejobs.ph/jobseekers/job/Bookkeeper-1612064,10,"['Visual', 'Reporting', 'Dashboard', 'Management', 'KPI', 'Strategy', 'spreadsheet']","['report', 'dashboards', 'trends', 'insights', 'monitor', 'track', 'KPI', 'build', 'visual', 'trends']","['experience', 'entry']"
"Apr 15, 2026","['Design', 'graphic', 'email']",Full Time,4.69,40,https://www.onlinejobs.ph/jobseekers/job/Email-Graphic-Designer-1553420,11,"['Excel', 'Visual', 'Communication']","['trends', 'collaborate', 'track', 'build', 'visual', 'trends']","['experience', 'portfolio']"
"Apr 15, 2026","['Power BI', 'API', 'Data Analyst', 'Analyst', 'BI', 'Power BI']",Any,7.88,20,https://www.onlinejobs.ph/jobseekers/job/Data-Analyst-Power-BI-SQL-APIs-AI-1624449,12,"['SQL', 'Power BI', ' BI', 'Visual', ' AI', 'Reporting', 'Dashboard', 'Communication', 'Management']","['report', 'dashboards', 'collaborate', 'build', 'visual']","['experience', 'project']"
"Apr 15, 2026","['Data Analyst', 'Analyst']",Full Time,5.0,40,https://www.onlinejobs.ph/jobseekers/job/PRODUCT-DATA-ANALYST-Remote-Flexible-PH-based-VA-800month-1624401,13,"['SQL', 'Python', ' BI', ' AI', 'A/B', 'Google Analytics', 'Critical Thinking', 'Communication', 'KPI', 'Metrics', 'Pipeline', 'Strategy']","['analyze', 'trends', 'insights', 'decision-making', 'monitor', 'track', 'KPI', 'build', 'analysis', 'metrics', 'query', 'trends']",['experience']
