ID,Qualifications,Salary
1,experience,
2,experience,5.0
3,experience,5.62
4,experience,7.81
4,portfolio,7.81
4,senior,7.81
5,experience,9.75
6,education,4.66
6,experience,4.66
6,project,4.66
7,experience,4.69
8,engineering,
8,experience,
8,project,
9,experience,4.66
9,excellent communication skills,4.66
10,experience,5.0
10,entry,5.0
11,experience,4.69
11,portfolio,4.69
12,experience,7.88
12,project,7.88
13,experience,5.0
14,experience,
15,experience,5.0
16,education,3.13
16,computer science,3.13
16,information technology,3.13
16,data science,3.13
16,experience,3.13
16,entry,3.13
17,experience,6.03
17,project,6.03
18,experience,4.69
19,experience,10.0
19,project,10.0
19,internet connection,10.0
20,economics,
20,experience,
21,experience,4.69
21,portfolio,4.69
22,education,
22,experience,
22,excellent communication skills,
23,experience,7.5
24,computer science,
24,engineering,
24,data science,
24,experience,
25,mathematics,5.0
25,computer science,5.0
25,experience,5.0
26,experience,
27,experience,5.0
28,experience,4.66
29,education,7.68
29,experience,7.68
29,senior,7.68
30,graduate,7.68
30,experience,7.68
30,portfolio,7.68
30,mid,7.68
30,senior,7.68
31,graduate,8.0
31,mathematics,8.0
31,computer science,8.0
31,engineering,8.0
31,experience,8.0
31,portfolio,8.0
31,mid,8.0
31,senior,8.0
32,experience,10.96
32,project,10.96
33,mathematics,13.75
33,computer science,13.75
33,experience,13.75
33,certifications,13.75
33,Google Data Analytics,13.75
33,senior,13.75
34,experience,6.0
35,experience,7.0
36,experience,3.12
36,certifications,3.12
36,project,3.12
36,senior,3.12
37,,5.0
38,engineering,9.45
38,experience,9.45
39,experience,
40,experience,15.62
41,education,17.19
41,project,17.19
42,education,17.19
42,project,17.19
43,education,8.59
43,project,8.59
44,experience,14.0
45,experience,4.0
45,entry,4.0
46,experience,15.0
46,senior,15.0
47,experience,4.48
47,entry,4.48
47,senior,4.48
48,experience,5.0
49,experience,
49,project,
49,entry,
49,internet connection,
50,education,
50,master's degree,
50,data science,
50,experience,
50,portfolio,
51,experience,6.5
51,entry,6.5
52,,6.25
53,experience,7.29
54,engineering,4.69
54,data science,4.69
54,experience,4.69
54,mid,4.69
55,experience,
56,mathematics,
56,economics,
56,experience,
56,project,
57,graduate,3.8
57,experience,3.8
58,,5.0
59,experience,4.11
60,engineering,7.5
60,data science,7.5
60,experience,7.5
61,engineering,4.69
61,experience,4.69
61,portfolio,4.69
62,education,10.94
62,experience,10.94
62,entry,10.94
63,experience,6.25
63,senior,6.25
64,internet connection,7.5
65,experience,4.69
65,portfolio,4.69
65,project,4.69
65,entry,4.69
66,experience,3.12
66,internet connection,3.12
67,experience,6.5
67,project,6.5
67,entry,6.5
67,internet connection,6.5
68,experience,1.88
68,project,1.88
68,entry,1.88
69,experience,8.0
69,portfolio,8.0
70,experience,7.5
70,portfolio,7.5
71,experience,4.69
71,portfolio,4.69
71,project,4.69
71,mid,4.69
71,senior,4.69
72,,4.06
73,experience,8.0
