ID,Responsibilities,Salary
1,report,
1,build,
1,metrics,
2,report,5.0
2,clean,5.0
2,organize,5.0
2,accuracy,5.0
2,datasets,5.0
2,load,5.0
3,clean,5.62
4,analysis,7.81
5,report,9.75
5,dashboards,9.75
5,trends,9.75
5,insights,9.75
5,monitor,9.75
5,track,9.75
5,metrics,9.75
5,trends,9.75
6,analyze,4.66
6,report,4.66
6,findings,4.66
6,track,4.66
6,KPI,4.66
6,interpret,4.66
6,accuracy,4.66
6,analysis,4.66
6,communicate,4.66
6,load,4.66
6,document,4.66
7,present,4.69
7,build,4.69
7,interpret,4.69
7,analysis,4.69
8,report,
8,trends,
8,decision-making,
8,organize,
8,track,
8,build,
8,visual,
8,document,
8,trends,
9,report,4.66
9,dashboards,4.66
9,insights,4.66
9,collaborate,4.66
9,present,4.66
9,automate,4.66
9,accuracy,4.66
9,visual,4.66
9,stakeholders,4.66
9,transform,4.66
9,query,4.66
9,document,4.66
10,report,5.0
10,dashboards,5.0
10,trends,5.0
10,insights,5.0
10,monitor,5.0
10,track,5.0
10,KPI,5.0
10,build,5.0
10,visual,5.0
10,trends,5.0
11,trends,4.69
11,collaborate,4.69
11,track,4.69
11,build,4.69
11,visual,4.69
11,trends,4.69
12,report,7.88
12,dashboards,7.88
12,collaborate,7.88
12,build,7.88
12,visual,7.88
13,analyze,5.0
13,trends,5.0
13,insights,5.0
13,decision-making,5.0
13,monitor,5.0
13,track,5.0
13,KPI,5.0
13,build,5.0
13,analysis,5.0
13,metrics,5.0
13,query,5.0
13,trends,5.0
14,analyze,
14,report,
14,dashboards,
14,decision-making,
14,collaborate,
14,clean,
14,track,
14,build,
14,accuracy,
14,datasets,
14,analysis,
14,metrics,
14,validation,
15,analyze,5.0
15,trends,5.0
15,insights,5.0
15,decision-making,5.0
15,monitor,5.0
15,track,5.0
15,KPI,5.0
15,build,5.0
15,analysis,5.0
15,metrics,5.0
15,query,5.0
15,trends,5.0
16,analyze,3.13
16,trends,3.13
16,insights,3.13
16,decision-making,3.13
16,track,3.13
16,interpret,3.13
16,accuracy,3.13
16,analysis,3.13
16,solve,3.13
16,communicate,3.13
16,stakeholders,3.13
16,document,3.13
16,trends,3.13
17,report,6.03
17,dashboards,6.03
17,trends,6.03
17,insights,6.03
17,decision-making,6.03
17,clean,6.03
17,track,6.03
17,KPI,6.03
17,build,6.03
17,accuracy,6.03
17,analysis,6.03
17,metrics,6.03
17,stakeholders,6.03
17,query,6.03
17,document,6.03
17,forecast,6.03
17,trends,6.03
18,clean,4.69
19,report,10.0
19,build,10.0
19,analysis,10.0
20,analyze,
20,report,
20,dashboards,
20,insights,
20,decision-making,
20,collaborate,
20,build,
20,datasets,
20,analysis,
20,solve,
20,query,
21,trends,4.69
21,collaborate,4.69
21,track,4.69
21,build,4.69
21,visual,4.69
21,trends,4.69
22,report,
22,dashboards,
22,trends,
22,insights,
22,collaborate,
22,present,
22,build,
22,accuracy,
22,datasets,
22,analysis,
22,visual,
22,stakeholders,
22,transform,
22,query,
22,forecast,
22,trends,
23,report,7.5
23,monitor,7.5
23,track,7.5
23,build,7.5
23,accuracy,7.5
24,report,
24,dashboards,
24,insights,
24,build,
24,accuracy,
24,datasets,
24,solve,
24,communicate,
24,stakeholders,
24,query,
25,analyze,5.0
25,report,5.0
25,dashboards,5.0
25,trends,5.0
25,insights,5.0
25,clean,5.0
25,monitor,5.0
25,present,5.0
25,findings,5.0
25,interpret,5.0
25,datasets,5.0
25,analysis,5.0
25,visual,5.0
25,communicate,5.0
25,metrics,5.0
25,stakeholders,5.0
25,trends,5.0
26,analyze,
26,insights,
26,present,
26,analysis,
26,visual,
26,metrics,
27,analyze,5.0
27,report,5.0
27,dashboards,5.0
27,trends,5.0
27,insights,5.0
27,clean,5.0
27,organize,5.0
27,present,5.0
27,findings,5.0
27,build,5.0
27,automate,5.0
27,accuracy,5.0
27,datasets,5.0
27,analysis,5.0
27,visual,5.0
27,validation,5.0
27,stakeholders,5.0
27,extract,5.0
27,transform,5.0
27,query,5.0
27,trends,5.0
28,report,4.66
28,build,4.66
28,metrics,4.66
29,track,7.68
29,build,7.68
29,metrics,7.68
30,report,7.68
30,dashboards,7.68
30,trends,7.68
30,monitor,7.68
30,track,7.68
30,build,7.68
30,trends,7.68
31,report,8.0
31,dashboards,8.0
31,trends,8.0
31,monitor,8.0
31,track,8.0
31,build,8.0
31,trends,8.0
32,report,10.96
32,dashboards,10.96
32,insights,10.96
32,decision-making,10.96
32,collaborate,10.96
32,organize,10.96
32,track,10.96
32,KPI,10.96
32,build,10.96
32,accuracy,10.96
32,visual,10.96
32,metrics,10.96
32,extract,10.96
32,transform,10.96
32,query,10.96
33,report,13.75
33,dashboards,13.75
33,insights,13.75
33,clean,13.75
33,track,13.75
33,build,13.75
33,accuracy,13.75
33,analysis,13.75
33,visual,13.75
33,solve,13.75
33,communicate,13.75
