ID,Skills,Salary
1,Google Sheet,
1,Metrics,
2,Excel,5.0
2,Cleaning,5.0
2,Reporting,5.0
2,Google Sheet,5.0
2,Management,5.0
3,Excel,5.62
3, BI,5.62
3,Communication,5.62
3,Management,5.62
4,SQL,7.81
4,Python,7.81
4,Communication,7.81
4,Git,7.81
5,Excel,9.75
5,Reporting,9.75
5,Dashboard,9.75
5,Google Sheet,9.75
5,Communication,9.75
5,Metrics,9.75
5,Git,9.75
5,spreadsheet,9.75
6, BI,4.66
6, AI,4.66
6,Reporting,4.66
6,Communication,4.66
6,KPI,4.66
7,,4.69
8,Excel,
8,Tableau,
8,Power BI,
8, BI,
8,Visual,
8,Communication,
8,Management,
8,spreadsheet,
9,SQL,4.66
9,Python,4.66
9,Excel,4.66
9,Power BI,4.66
9, BI,4.66
9,Visual,4.66
9,Data Modeling,4.66
9,Reporting,4.66
9,Dashboard,4.66
9,Communication,4.66
9,Stakeholder,4.66
9,Management,4.66
9,Governance,4.66
9,Warehouse,4.66
9,Storytelling,4.66
10,Visual,5.0
10,Reporting,5.0
10,Dashboard,5.0
10,Management,5.0
10,KPI,5.0
10,Strategy,5.0
10,spreadsheet,5.0
11,Excel,4.69
11,Visual,4.69
11,Communication,4.69
12,SQL,7.88
12,Power BI,7.88
12, BI,7.88
12,Visual,7.88
12, AI,7.88
12,Reporting,7.88
12,Dashboard,7.88
12,Communication,7.88
12,Management,7.88
13,SQL,5.0
13,Python,5.0
13, BI,5.0
13, AI,5.0
13,A/B,5.0
13,Google Analytics,5.0
13,Critical Thinking,5.0
13,Communication,5.0
13,KPI,5.0
13,Metrics,5.0
13,Pipeline,5.0
13,Strategy,5.0
14,SQL,
14,Excel,
14,Tableau,
14,Power BI,
14, BI,
14,Cleaning,
14,ETL,
14,Data Modeling,
14,Reporting,
14,Dashboard,
14,Google Sheet,
14,Looker,
14,Metrics,
14,Warehouse,
15,SQL,5.0
15,Python,5.0
15, BI,5.0
15, AI,5.0
